DATE,age,bmr,body_fat,e_caffeine,e_calcium,e_calories,e_carbs,e_cholesterol,e_count,e_fat,e_fiber,e_iron,e_monounsaturated_fat,e_num_drinks,e_num_foods,e_num_mealitems_green,e_num_mealitems_red,e_num_mealitems_with_score,e_num_mealitems_yellow,e_num_water,e_polyunsaturated_fat,e_potassium,e_protein,e_sat_fat,e_sodium,e_sugar,e_trans_fat,e_unsat_fat,e_vitamin_a,e_vitamin_c,gender,goal_body_weight,goal_body_weight_intent,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_clinical_deep,n_count,n_deep,n_duration,n_light,n_quality,n_rem,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_clinical_deep,s_count,s_deep,s_duration,s_light,s_quality,s_rem,weight
20150101,23.024657534246575,1974.078697260274,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,2285.0,228.5929480467576,3819.0,29700.0,163.0,13080.0,4399.0,2202.6716453070317,0.0,0.0,,,,,,,,,,,,,17699.0,3787.0,41400.0,1.0,14931.0,0.0,1.0,9840.0,22859.0,13019.0,63.0,0.0,82.0
20150102,23.027397260273972,1974.060190410959,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,2629.0,274.35231016058077,4372.0,28680.0,344.0,10680.0,5072.0,2248.4125005715396,0.0,0.0,,,,,,,,,,,,,7440.0,665.0,42900.0,1.0,7050.0,0.0,1.0,15322.0,35473.0,20151.0,100.0,0.0,82.0
20150103,23.03013698630137,1974.041683561644,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,3717.0,390.0733489160128,6297.0,28740.0,509.0,11760.0,7220.0,2364.1150324776568,0.0,0.0,,,,,,,,,,,,,9118.0,703.0,39900.0,0.0,8445.0,0.0,1.0,12779.0,30841.0,18062.0,85.0,0.0,82.0
20150104,23.03287671232877,1974.023176712329,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,6695.0,662.6643572650956,10858.0,25080.0,1159.0,12900.0,12641.0,2636.6875339774247,0.0,0.0,,,,,,,,,,,,,7317.0,1669.0,41400.0,1.0,6551.0,0.0,1.0,18275.0,33335.0,15060.0,100.0,0.0,82.0
20150105,23.035616438356165,1974.004669863014,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,12726.0,1428.5856026424601,17297.0,24360.0,2166.0,5760.0,20215.0,3402.590272505474,2.0,3600.0,,,,,,,,,,,,,2759.0,1039.0,24900.0,1.0,2119.0,0.0,1.0,6867.0,21746.0,14879.0,55.0,0.0,82.0
20150106,23.03835616438356,1973.9861630136988,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,5994.0,545.910633169352,9456.0,26940.0,1178.0,4380.0,11206.0,2519.896796183051,0.0,0.0,,,,,,,,,,,,,778.0,1563.0,23400.0,0.0,-79.0,0.0,1.0,8644.0,22756.0,14112.0,59.0,0.0,82.0
20150107,23.041095890410958,1973.9676561643837,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4389.0,429.66165472163703,7160.0,26880.0,916.0,9360.0,8400.0,2403.629310886021,0.0,0.0,6599.0,2741.0,39000.0,1.0,5289.0,0.0,2.0,16200.0,32199.0,15999.0,95.0,0.0,,,,,,,,,,,,,82.0
20150108,23.043835616438358,1973.9491493150686,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,6017.0,610.8953669834215,9932.0,26040.0,819.0,3000.0,11535.0,2584.84451629849,0.0,0.0,,,,,,,,,,,,,839.0,1717.0,26400.0,3.0,564.0,0.0,1.0,9798.0,24282.0,14484.0,66.0,0.0,82.0
20150109,23.046575342465754,1973.9306424657536,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,4059.0,400.3169498283727,6595.0,25980.0,671.0,7680.0,7715.0,2374.247592294126,0.0,0.0,,,,,,,,,,,,,6300.0,0.0,34800.0,0.0,6300.0,0.0,1.0,0.0,28500.0,0.0,0.0,0.0,82.0
20150110,23.04931506849315,1973.9121356164385,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80.0,1,1.87,1784.0,214.04946958987222,3206.0,28800.0,202.0,8760.0,3589.0,2187.9616052063107,0.0,0.0,,,,,,,,,,,,,5400.0,466.0,35400.0,0.0,5013.0,0.0,1.0,11581.0,29967.0,18386.0,81.0,0.0,82.0
