"","DATE","age","bmr","height","m_active_time","m_calories","m_distance","m_inactive_time","m_lcat","m_lcit","m_steps","m_total_calories","s_asleep_time","s_awake","s_awake_time","s_awakenings","s_bedtime","s_clinical_deep","s_count","s_deep","s_duration","s_light","s_quality","s_rem","weight"
"1",20150101,23.0246575342466,1974.07869726027,1.87,2285,228.592948046758,3819,29700,163,13080,4399,2202.67164530703,17699,3787,41400,1,14931,0,1,9840,22859,13019,63,0,82
"2",20150102,23.027397260274,1974.06019041096,1.87,2629,274.352310160581,4372,28680,344,10680,5072,2248.41250057154,7440,665,42900,1,7050,0,1,15322,35473,20151,100,0,82
"3",20150103,23.0301369863014,1974.04168356164,1.87,3717,390.073348916013,6297,28740,509,11760,7220,2364.11503247766,9118,703,39900,0,8445,0,1,12779,30841,18062,85,0,82
"4",20150104,23.0328767123288,1974.02317671233,1.87,6695,662.664357265096,10858,25080,1159,12900,12641,2636.68753397742,7317,1669,41400,1,6551,0,1,18275,33335,15060,100,0,82
"5",20150105,23.0356164383562,1974.00466986301,1.87,12726,1428.58560264246,17297,24360,2166,5760,20215,3402.59027250547,2759,1039,24900,1,2119,0,1,6867,21746,14879,55,0,82
"6",20150106,23.0383561643836,1973.9861630137,1.87,5994,545.910633169352,9456,26940,1178,4380,11206,2519.89679618305,778,1563,23400,0,-79,0,1,8644,22756,14112,59,0,82
"7",20150107,23.041095890411,1973.96765616438,1.87,4389,429.661654721637,7160,26880,916,9360,8400,2403.62931088602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
"8",20150108,23.0438356164384,1973.94914931507,1.87,6017,610.895366983421,9932,26040,819,3000,11535,2584.84451629849,839,1717,26400,3,564,0,1,9798,24282,14484,66,0,82
"9",20150109,23.0465753424658,1973.93064246575,1.87,4059,400.316949828373,6595,25980,671,7680,7715,2374.24759229413,6300,0,34800,0,6300,0,1,0,28500,0,0,0,82
"10",20150110,23.0493150684932,1973.91213561644,1.87,1784,214.049469589872,3206,28800,202,8760,3589,2187.96160520631,5400,466,35400,0,5013,0,1,11581,29967,18386,81,0,82
